"gene_ID","description","organism","nomenclaturesymbol"
"XP_008297909.1","eukaryotic translation initiation factor 4 gamma 1-like","Stegastes partitus",""
"NP_998421.1","tweety homolog 2, like","Danio rerio","ttyh2l"
"NP_001188089.1","transmembrane protein c9orf46","Ictalurus punctatus",""
"XP_008422254.1","plasminogen receptor with a C-terminal lysine","Poecilia reticulata",""
"XP_013857704.1","fms related tyrosine kinase 3","Austrofundulus limnaeus",""
"NP_001035422.1","zyg-11 homolog (C. elegans)","Danio rerio","zyg11"
"NP_955887.1","split hand/foot malformation (ectrodactyly) type 1","Danio rerio","shfm1"
"XP_012688314.1","solute carrier family 25 member 13","Clupea harengus",""
"XP_010734118.1",NA,NA,NA
"XP_001921495.3","si:ch211-57n23.1","Danio rerio","si:ch211-57n23.1"
"XP_001339876.2","CREB regulated transcription coactivator 2","Danio rerio","crtc2"
"NP_571381.2","distal-less homeobox 5a","Danio rerio","dlx5a"
"NP_571398.1","distal-less homeobox 6a","Danio rerio","dlx6a"
"XP_009292645.1",NA,NA,NA
"XP_010902301.1","argonaute 2, RISC catalytic component","Esox lucius",""
"NP_001032195.1","Parkinson disease 7 domain containing 1","Danio rerio","pddc1"
"NP_001156323.1","glutathione S-transferase mu tandem duplicate 3","Danio rerio","gstm.3"
"XP_014060321.1","membrane-bound O-acyltransferase domain-containing protein 2-like","Salmo salar",""
"NP_001003498.1","zgc:91999","Danio rerio","zgc:91999"
"XP_009301958.1","nascent polypeptide-associated complex subunit alpha, muscle-specific form-like","Danio rerio",""
"NP_001187748.1","lysozyme g","Ictalurus punctatus",""
"NP_001076295.2","ras homolog family member T1","Danio rerio","rhot1b"
"XP_007257169.1",NA,NA,NA
"XP_007257167.1","ras homolog family member T1","Astyanax mexicanus",""
"NP_001073495.1","transcription elongation factor, mitochondrial","Danio rerio","tefm"
"XP_005166234.1","ATPase family, AAA domain containing 5b","Danio rerio","atad5b"
"XP_008401787.1","uncharacterized LOC103461248","Poecilia reticulata",""
"XP_008311458.1","phospholipase C beta 1","Cynoglossus semilaevis",""
"XP_008311460.1","phospholipase C beta 1","Cynoglossus semilaevis",""
"XP_007566717.1","phospholipase C beta 1","Poecilia formosa",""
"XP_003971574.1","phospholipase C beta 1","Takifugu rubripes",""
"NP_001122269.1","lysophosphatidic acid receptor 5b","Danio rerio","lpar5b"
"XP_008275426.1","RAN binding protein 2","Stegastes partitus",""
"XP_014029402.1","E3 SUMO-protein ligase RanBP2-like","Salmo salar",""
"XP_008327070.1","LIM and senescent cell antigen-like-containing domain protein 1","Cynoglossus semilaevis",""
"XP_008327076.1","LIM and senescent cell antigen-like-containing domain protein 1","Cynoglossus semilaevis",""
"XP_005165058.1",NA,NA,NA
"XP_005165057.1","protein phosphatase 1, regulatory subunit 3Aa","Danio rerio","ppp1r3aa"
"XP_007252775.1","uncharacterized LOC103043330","Astyanax mexicanus",""
"NP_445876.1","solute carrier family 4 member 4","Rattus norvegicus","Slc4a4"
"XP_013983640.1","electrogenic sodium bicarbonate cotransporter 4-like","Salmo salar",""
"XP_013870170.1","electrogenic sodium bicarbonate cotransporter 4-like","Austrofundulus limnaeus",""
"XP_013983639.1","electrogenic sodium bicarbonate cotransporter 4-like","Salmo salar",""
"XP_010876516.1",NA,NA,NA
"XP_010876514.1",NA,NA,NA
"XP_012806543.1","solute carrier family 4 member 5","Jaculus jaculus",""
"XP_010753514.1",NA,NA,NA
"NP_001025385.1","zgc:114173","Danio rerio","zgc:114173"
"XP_010748866.1",NA,NA,NA
"NP_571256.1","homeobox B8b","Danio rerio","hoxb8b"
"XP_009293722.1",NA,NA,NA
"XP_009293867.1","dachshund a","Danio rerio","dacha"
"XP_004077814.2","eukaryotic translation initiation factor 3 subunit H","Oryzias latipes",""
"NP_001038612.2","E2F transcription factor 7","Danio rerio","e2f7"
"NP_001025367.1","diacylglycerol O-acyltransferase 2","Danio rerio","dgat2"
"NP_001018354.1","protein phosphatase, Mg2+/Mn2+ dependent, 1E","Danio rerio","ppm1e"
"XP_009290742.1","DENN/MADD domain containing 3b","Danio rerio","dennd3b"
"XP_012677577.1","uncharacterized LOC105895490","Clupea harengus",""
"NP_957139.1","ribosomal protein S17","Danio rerio","rps17"
"XP_008173928.1","poly(U) binding splicing factor 60","Chrysemys picta",""
"XP_007250572.1","potassium voltage-gated channel modifier subfamily G member 4","Astyanax mexicanus",""
"XP_007248703.1","glyoxalase domain containing 4","Astyanax mexicanus",""
"XP_005949232.2","Golgi-associated plant pathogenesis-related protein 1-like","Haplochromis burtoni",""
"XP_007251032.1",NA,NA,NA
"XP_011472527.1","uncharacterized LOC105353958","Oryzias latipes",""
"XP_006786671.1","protein FAM102B-like","Neolamprologus brichardi",""
"NP_571712.1","claudin 7b","Danio rerio","cldn7b"
"XP_002663577.1","plac8 onzin related protein 2","Danio rerio","ponzr2"
"XP_014003554.1","Wilms tumor 1","Salmo salar",""
"NP_571121.1","wilms tumor 1a","Danio rerio","wt1a"
"NP_001019614.1","transcriptional adaptor 2B","Danio rerio","tada2b"
"NP_001032461.1","GrpE-like 1, mitochondrial","Danio rerio","grpel1"
"XP_003199028.1","chemokine (C-C motif) ligand 36, duplicate 1","Danio rerio","ccl36.1"
"XP_013765236.1","acetyl-coenzyme A synthetase, cytoplasmic-like","Pundamilia nyererei",""
"XP_013980967.1","coiled-coil domain containing 73","Salmo salar",""
"XP_011474629.1","coiled-coil domain containing 73","Oryzias latipes",""
"XP_012692143.1","neurexin 3","Clupea harengus",""
"XP_005163396.1","ST3 beta-galactoside alpha-2,3-sialyltransferase 3b","Danio rerio","st3gal3b"
"NP_997954.2",NA,NA,NA
"NP_443387.1","cytochrome c oxidase subunit I","Poromitra oscitans",""
"XP_007248538.1",NA,NA,NA
"XP_003201332.1",NA,NA,NA
"XP_001339505.5","mesothelin a","Danio rerio","mslna"
"NP_001020669.1","LIM homeobox transcription factor 1, alpha","Danio rerio","lmx1a"
"XP_005167009.2","nephronophthisis 4","Danio rerio","nphp4"
"XP_014027316.1","transmembrane protein 132D-like","Salmo salar",""
"XP_014015741.1","glycosyltransferase 1 domain containing 1","Salmo salar",""
"NP_001014323.1","t-complex 11, testis-specific-like 1","Danio rerio","tcp11l1"
"NP_956817.1","cysteine-rich with EGF-like domains 2","Danio rerio","creld2"
"XP_694821.5",NA,NA,NA
"XP_014031543.1","thrombospondin type-1 domain-containing protein 4-like","Salmo salar",""
"XP_002665267.1","si:dkey-16j16.4","Danio rerio","si:dkey-16j16.4"
"XP_009298156.1","si:dkey-111k8.5","Danio rerio","si:dkey-111k8.5"
"XP_003199363.1","im:7148292","Danio rerio","im:7148292"
"XP_005155616.1","trafficking protein particle complex 13","Danio rerio","trappc13"
"XP_002195719.2","pleckstrin homology like domain family A member 3","Taeniopygia guttata",""
"XP_012562674.1","protein downstream neighbor of Son-like","Hydra vulgaris",""
"XP_695650.4","potassium channel, subfamily V, member 2a","Danio rerio","kcnv2a"
"XP_009293682.1","polymerase (DNA directed), theta","Danio rerio","polq"
"XP_005161311.1","DNA damage-induced apoptosis suppressor","Danio rerio","ddias"
"NP_001007308.1","PCF11 cleavage and polyadenylation factor subunit","Danio rerio","pcf11"
"XP_005155626.1","neurolysin (metallopeptidase M3 family)","Danio rerio","nln"
"XP_005155624.1","neurolysin (metallopeptidase M3 family)","Danio rerio","nln"
"NP_001005930.1","neurolysin (metallopeptidase M3 family)","Danio rerio","nln"
"XP_005171855.1","hematopoietic death receptor","Danio rerio","hdr"
"NP_919372.1","hematopoietic death receptor","Danio rerio","hdr"
"NP_001159730.2","coiled-coil domain containing 90B","Danio rerio","ccdc90b"
"NP_001017647.1","ALG8, alpha-1,3-glucosyltransferase","Danio rerio","alg8"
"NP_001082941.1","unc-51 like kinase 3","Danio rerio","ulk3"
"NP_001007282.2","glutathione peroxidase 1a","Danio rerio","gpx1a"
"XP_003200581.2","capicua transcriptional repressor a","Danio rerio","cica"
"XP_009292278.1","glycogen synthase kinase 3 alpha a","Danio rerio","gsk3aa"
"NP_001038386.2","glycogen synthase kinase 3 alpha a","Danio rerio","gsk3aa"
"XP_005160570.1","neuromedin U","Danio rerio","nmu"
"XP_009292927.1",NA,NA,NA
"XP_011472704.1","uncharacterized LOC101166214","Oryzias latipes",""
"NP_001073640.2","discoidin, CUB and LCCL domain containing 2","Danio rerio","dcbld2"
"NP_001108619.1","prolactin releasing hormone 2 receptor","Danio rerio","prlh2r"
"XP_005158823.1","l-isoaspartyl protein carboxyl methyltransferase, like","Danio rerio","pcmtl"
"XP_007238805.1","dishevelled associated activator of morphogenesis 1","Astyanax mexicanus",""
"XP_007238807.1","dishevelled associated activator of morphogenesis 1","Astyanax mexicanus",""
"NP_001153235.1","si:dkey-71b5.6","Danio rerio","si:dkey-71b5.6"
"XP_003200227.1","RIIa domain-containing protein 1-like","Danio rerio",""
"XP_005172365.1",NA,NA,NA
"XP_010733059.1","family with sequence similarity 126 member A","Larimichthys crocea",""
"XP_009298027.1","epsin 3a","Danio rerio","epn3a"
"XP_005816318.1",NA,NA,NA
"XP_010888159.1",NA,NA,NA
"XP_012681070.1","meiotic double-stranded break formation protein 1","Clupea harengus",""
"XP_005161350.1","argininosuccinate lyase","Danio rerio","asl"
"XP_007254219.1","tyrosylprotein sulfotransferase 1","Astyanax mexicanus",""
"XP_010748381.1","carbonic anhydrase 4-like","Larimichthys crocea",""
"XP_003200928.1","carbonic anhydrase IV c","Danio rerio","ca4c"
"NP_001038838.1",NA,NA,NA
"XP_007232605.1","SATB homeobox 1","Astyanax mexicanus",""
"XP_007232603.1","SATB homeobox 1","Astyanax mexicanus",""
"NP_001070178.2","zgc:152891","Danio rerio","zgc:152891"
"NP_956496.1","tyrosylprotein sulfotransferase 1, like","Danio rerio","tpst1l"
"XP_014069975.1","olfactory marker protein-like","Salmo salar",""
"XP_005174211.1","si:ch211-149b19.2","Danio rerio","si:ch211-149b19.2"
"NP_001017554.1","ring finger protein 150a","Danio rerio","rnf150a"
"XP_014059254.1","caspase recruitment domain-containing protein 10-like","Salmo salar",""
"XP_001333078.3",NA,NA,NA
"XP_014043930.1","caspase recruitment domain-containing protein 11-like","Salmo salar",""
"XP_005174219.1",NA,NA,NA
"XP_009295414.1","uncharacterized LOC101884517","Danio rerio",""
"XP_007235758.1","protein phosphatase 1K, mitochondrial-like","Astyanax mexicanus",""
"XP_009295416.1","si:ch211-149b19.3","Danio rerio","si:ch211-149b19.3"
"XP_007237550.1","retinoic acid induced 2","Astyanax mexicanus",""
"XP_007237534.1","sex comb on midleg-like 2 (Drosophila)","Astyanax mexicanus",""
"XP_007237535.1","sex comb on midleg-like 2 (Drosophila)","Astyanax mexicanus",""
"XP_012675945.1","sex comb on midleg-like 2 (Drosophila)","Clupea harengus",""
"XP_012696550.1","R3H domain containing 2","Clupea harengus",""
"NP_001082961.3","non-SMC condensin II complex, subunit G2","Danio rerio","ncapg2"
"NP_001122139.1","protein tyrosine phosphatase, receptor type, N polypeptide 2","Danio rerio","ptprn2"
"NP_001119906.1","ATP-binding cassette, sub-family B (MDR/TAP), member 9","Danio rerio","abcb9"
"XP_009303436.1","CWC27 spliceosome-associated protein homolog (S. cerevisiae)","Danio rerio","cwc27"
"NP_956513.1","ints3 and nabp interacting protein","Danio rerio","inip"
"XP_007255069.1","placenta specific 8","Astyanax mexicanus",""
"XP_005459738.1","placenta specific 8","Oreochromis niloticus",""
"XP_010792963.1","SREK1 interacting protein 1","Notothenia coriiceps",""
"NP_991119.1","COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)","Danio rerio","cops4"
"XP_005155658.1","lin-54 DREAM MuvB core complex component","Danio rerio","lin54"
"XP_009290668.1","si:dkey-239n17.4","Danio rerio","si:dkey-239n17.4"
"XP_007563325.1",NA,NA,NA
"XP_009299725.1",NA,NA,NA
"NP_001076451.1","F11 receptor, tandem duplicate 2","Danio rerio","f11r.2"
"NP_001004667.1","F11 receptor, tandem duplicate 1","Danio rerio","f11r.1"
"YP_009117101.1","cytochrome c oxidase subunit I","Himantura microphthalma",""
"XP_001923885.2","ubiquitin associated and SH3 domain containing Ba","Danio rerio","ubash3ba"
"NP_998359.1","upstream transcription factor 1, like","Danio rerio","usf1l"
"XP_002662060.4","beta-carotene oxygenase 2a","Danio rerio","bco2a"
"NP_001122251.1","translocase of inner mitochondrial membrane 8 homolog B (yeast)","Danio rerio","timm8b"
"XP_006631517.1","ribosomal protein S6 kinase A1","Lepisosteus oculatus",""
"NP_001116739.1","metallo-beta-lactamase domain containing 2","Danio rerio","mblac2"
"XP_691883.4","si:ch211-79e4.4","Danio rerio","si:ch211-79e4.4"
"XP_009290594.1",NA,NA,NA
"XP_009290598.1",NA,NA,NA
"XP_691110.1",NA,NA,NA
"YP_007024802.1","cytochrome c oxidase subunit I","Perca flavescens",""
"XP_004010585.1","peptidylprolyl isomerase B","Ovis aries",""
"NP_001038605.1","si:ch211-151h10.2","Danio rerio","si:ch211-151h10.2"
"NP_001116484.1","amyloid beta (A4) precursor-like protein 2","Danio rerio","aplp2"
"XP_010737995.1",NA,NA,NA
"XP_012991316.1","adhesion G protein-coupled receptor L1","Esox lucius",""
"YP_008239052.1","cytochrome c oxidase subunit III","Pentaceros japonicus",""
"XP_009295216.1","heparan sulfate proteoglycan 2","Danio rerio","hspg2"
"XP_009295224.1",NA,NA,NA
"XP_005162329.1",NA,NA,NA
"XP_009295223.1",NA,NA,NA
"XP_013879858.1","heparan sulfate proteoglycan 2","Austrofundulus limnaeus",""
"NP_001013288.2","YES proto-oncogene 1, Src family tyrosine kinase","Danio rerio","yes1"
"NP_001082948.1","heat shock protein 70 family, member 13","Danio rerio","hspa13"
"XP_005174262.1","serpin peptidase inhibitor, clade B (ovalbumin), member 1, like 3","Danio rerio","serpinb1l3"
"NP_001098576.1","regulator of microtubule dynamics 1","Danio rerio","rmdn1"
"XP_005794938.1",NA,NA,NA
"XP_007260859.1","tripartite motif containing 36","Astyanax mexicanus",""
"XP_007260855.1",NA,NA,NA
"XP_014186716.1","tripartite motif containing 36","Haplochromis burtoni",""
"NP_001003610.1","nicolin 1","Danio rerio","nicn1"
"XP_014030144.1","tubulin alpha chain-like","Salmo salar",""
"NP_001009886.2","motor neuron and pancreas homeobox 2a","Danio rerio","mnx2a"
"XP_012688813.1","microtubule-actin cross-linking factor 1-like","Clupea harengus",""
"XP_009291800.1","myocyte enhancer factor 2aa","Danio rerio","mef2aa"
"NP_001187030.1","ribosomal protein lateral stalk subunit P0","Ictalurus punctatus",""
"XP_005165074.1","si:ch211-283g2.2","Danio rerio","si:ch211-283g2.2"
"YP_009093627.1","NADH dehydrogenase subunit 2","Homatula potanini",""
"NP_001093527.3","DEAH (Asp-Glu-Ala-His) box polypeptide 33","Danio rerio","dhx33"
"NP_957487.2","talin 2a","Danio rerio","tln2a"
"XP_697438.6",NA,NA,NA
"XP_013865262.1","anaplastic lymphoma receptor tyrosine kinase","Austrofundulus limnaeus",""
"XP_005158666.1","A kinase (PRKA) anchor protein 12a","Danio rerio","akap12a"
"XP_009298168.1","target of myb1 like 2 membrane trafficking protein","Danio rerio",""
"XP_009298167.1",NA,NA,NA
"XP_002661358.1","GID complex subunit 4 homolog","Danio rerio","gid4"
"XP_006637289.1","GID complex subunit 4 homolog","Lepisosteus oculatus",""
"XP_007240656.1",NA,NA,NA
"XP_003966988.1","cholecystokinin A receptor","Takifugu rubripes",""
"XP_012725631.1","target of Myb protein 1-like","Fundulus heteroclitus",""
"XP_007231387.1","target of Myb protein 1-like","Astyanax mexicanus",""
"XP_010783839.1","target of myb1 like 2 membrane trafficking protein","Notothenia coriiceps",""
"NP_571311.2","GATA binding protein 4","Danio rerio","gata4"
"XP_005170254.1","centrosomal protein 85, like","Danio rerio","cep85l"
"XP_012987703.1",NA,NA,NA
"XP_014023700.1","integrin alpha-7-like","Salmo salar",""
"XP_012683496.1","integrin subunit alpha 7","Clupea harengus",""
"XP_007248425.1",NA,NA,NA
"XP_692833.6","si:ch211-153j24.3","Danio rerio","si:ch211-153j24.3"
"NP_998068.1","eukaryotic translation initiation factor 2B, subunit 2 beta","Danio rerio","eif2b2"
"XP_005322643.1","adenylate cyclase 3","Ictidomys tridecemlineatus",""
"XP_007259987.1","adenylate cyclase type 3-like","Astyanax mexicanus",""
"XP_013881793.1","adenylate cyclase type 3-like","Austrofundulus limnaeus",""
"XP_009686546.1","adenylate cyclase 3","Struthio camelus australis",""
"XP_005160917.1","basic leucine zipper transcription factor, ATF-like","Danio rerio","batf"
"XP_009295991.1",NA,NA,NA
"NP_001189371.1","WD repeat domain 26b","Danio rerio","wdr26b"
"NP_001070900.1","si:ch211-57i17.1","Danio rerio","si:ch211-57i17.1"
"XP_005160922.1","si:ch211-57i17.1","Danio rerio","si:ch211-57i17.1"
"NP_001002493.1","Jun dimerization protein 2b","Danio rerio","jdp2b"
"NP_991132.1","v-fos FBJ murine osteosarcoma viral oncogene homolog Ab","Danio rerio","fosab"
"NP_999863.1","transmembrane p24 trafficking protein 10","Danio rerio","tmed10"
"NP_001098582.1","methylmalonic aciduria (cobalamin deficiency) cblA type","Danio rerio","mmaa"
"NP_001006594.1","ATP-binding cassette, sub-family B (MDR/TAP), member 3 like 1","Danio rerio","abcb3l1"
"XP_002942726.1","uncharacterized LOC100495238","Xenopus tropicalis",""
"XP_006639169.1",NA,NA,NA
"NP_957480.1","CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2","Danio rerio","cds2"
"XP_005165227.1",NA,NA,NA
"XP_009299711.1","si:dkey-13n15.11","Danio rerio","si:dkey-13n15.11"
"XP_005162835.1","TRAF2 and NCK interacting kinase b","Danio rerio","tnikb"
"NP_001107058.1","zgc:171490","Danio rerio","zgc:171490"
"XP_014017755.1","proprotein convertase subtilisin/kexin type 7-like","Salmo salar",""
"XP_004081923.1","mitogen-activated protein kinase kinase kinase 13","Oryzias latipes",""
"NP_997829.1","Tax1 (human T-cell leukemia virus type I) binding protein 1b","Danio rerio","tax1bp1b"
"XP_012724449.1","TBC1 domain family member 22B-like","Fundulus heteroclitus",""
"XP_007237347.1","Rho guanine nucleotide exchange factor 26","Astyanax mexicanus",""
"NP_998670.1","ER membrane protein complex subunit 3","Danio rerio","emc3"
"XP_005932617.2","mitogen-activated protein kinase kinase kinase kinase 4-like","Haplochromis burtoni",""
"XP_007234953.1","guanine nucleotide-binding protein G(olf) subunit alpha-like","Astyanax mexicanus",""
"XP_009295880.1",NA,NA,NA
"NP_001003614.1","RIO kinase 3 (yeast)","Danio rerio","riok3"
"NP_001004610.1","transmembrane protein 14Cb","Danio rerio","tmem14cb"
"NP_957239.2","PAK1 interacting protein 1","Danio rerio","pak1ip1"
"XP_009295883.1","transmembrane protein 241","Danio rerio",""
"XP_009302311.1","transmembrane protein 241-like","Danio rerio",""
"XP_005174247.1","establishment of sister chromatid cohesion N-acetyltransferase 1","Danio rerio","esco1"
"XP_005174246.1","retinoblastoma binding protein 8","Danio rerio","rbbp8"
"NP_001012518.1","retinoblastoma binding protein 8","Danio rerio","rbbp8"
"XP_005729092.1","G protein subunit alpha L","Pundamilia nyererei",""
"XP_005174250.1","guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas-like","Danio rerio",""
